establNumber,operatorName,locationAddress,geoAdddress,mailingAddress,functionCodes,telephoneNumber
70,ALIMENTS SUNCHEF INC./SUNCHEF FOODS INC.Also Doing Business As Name:   SERVICE ALIMENTAIRE SUNCHEF : LES ALIMENTS SUNCHEF : LES VOLAILLES SUNCHEF,9750; BOUL DES SCIENCES   ANJOU QC H1J 0A1,"45.6257493, -73.551405",   , 3fx 6fx 11AD,(514) 272-3238 (514) 272-6276/F
71,SURE FRESH FOODS INC.Also Doing Business As Name:   CERICOLA FARMS,LOTS 4 & 5; CONCESSION 3 WEST GWILLUMBURY TOWNSHIP  SIMCOE COUNTY ON L3Z 2A4,"44.0741326, -79.6333674",3855 4TH LINE; BOX 1329   BRADFORD ON L3Z 2A4,1fi 11D,(905) 939-2962 (905) 939-8423/F
74,VIANDES RIENDEAU LTEEAlso Doing Business As Name:   ALI-PRO DISTRIBUTION LTEE; LES ENTREPOTS FRIGORIFIQUES RIENDEAU INC.,399 RUE DES INDUSTRIES   REPENTIGNY QC J5Z 4Y8,"45.7528436, -73.4783393",   , 3fx 6fx 11D,(450) 654-6262 (450) 654-4796/F
76,VIANDE RICHELIEU INC./RICHELIEU MEAT INC.,595 RUE ROYALE   MASSUEVILLE QC J0G 1K0,"45.9148852, -72.9272366",C.P. 101   MASSUEVILLE QC J0G 1K0,1abehi 3x 5Y 6x 11ADGHLR,(450) 788-2667 (450) 788-2622/F (450) 788-2061/I
79,MAITRE SALADIER; INC.,1755; BOULEVARD LIONEL-BERTRAND   BOISBRIAND QC J7H 1N8,"45.6176935, -73.8532029",   , 6fx 11D,(450) 435-0674 (450) 435-0363/F
80,ATRAHAN TRANSFORMATION INC.Also Doing Business As Name:   OLYMEL S.E.C./OLYMEL L.P. ; OLYMEL S.E.C./L.P.,860 CHEMIN DES ACADIENS   YAMACHICHE QC G0X 3L0,"46.3218842, -72.8604888",   ,1d 3x 5Y 6x 11ADFGKQSVI,(819) 296-3791 (819) 296-3364/F
84,ALIMENTS PASTA ROMANA INC./PASTA ROMANA FOODS INC.,11430; BOULEVARD ALBERT-HUDON   MONTRAL-NORD QC H1G 3J8,"45.6142035, -73.6087569",   , 6fx 11D,(514) 494-4767 (514) 494-5148/F
85,HAYTER'S TURKEY PRODUCTS INC.,37451 DASHWOOD ROAD LOT 25; NORTH BOUNDARY  MUNICIPALITY OF SOUTH HURON ON N0M 1N0,"43.3448976, -81.6444716",R.R. #2   DASHWOOD ON N0M 1N0,1fi 3f 6f 11AD,(519) 237-3561 (519) 237-3460/F (519) 237-3158/I
86,ARTIC BLAST MTL INC.Also Doing Business As Name:   TGV DISTRIBUTIONS : ALIMENTATION DYNAMIC INC.; 3861864 CANADA INC.,565; RUE FERNAND-POITRAS   TERREBONNE QC J6Y 1Y5,"45.6880145, -73.77081559999999",   , 3fx 6fx 9B 11ADGRSV,(450) 628-9222 (450) 973-9121/F
88,EXCELDOR COOPRATIVE,125 RUE STE-ANNE   ST-DAMASE QC J0H 1J0,"45.5241701, -73.0034241",   ,1f 3f 11DG,(450) 797-3331 (450) 797-3528/F (450) 797-2262/I
89,VOLAILLE GIANNONE INC./GIANNONE POULTRY INC.,232O PRINCIPALE   ST-CUTHBERT QC J0K 2C0,"46.1791857, -73.2435903",   ,1fi 3f 6f 11DV,(450) 836-3063/I (450) 836-1508/F (450) 836-3063
92,SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE FOODS INC.,7727 - 127 AVE.   EDMONTON AB T5C 1R9,"53.58465469999999, -113.4595825",100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1,1f 3f 6f 11DG,(780) 472-1610 (780) 472-4872/F (780) 472-4835/I
092C,SOFINA FOODS INC./ALIMENTS SOFINA INC.,31894 MARSHALL ROAD   ABBOTSFORD BC V2T 5Z9,"49.0366993, -122.3401848",100 COMMERCE VALLEY DRIVE WEST   MARHAM ON L3T 0A1,1f 3f 6f 11DG,(604) 850-2633 (604) 850-7878/F (604) 850-8913/I
092D,SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE,1910 KINGSWAY STREET   PORT COQUITLAM BC V3C 1S7,"49.254772, -122.768957",   ,1f 3f 6f 11ADG,(604) 941-4041 (604) 941-7466/F
93,CARGILL LIMITED  - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL FOODS : CARGILL MEAT SOLUTIONS : TAYLOR PACKING CO.,472 AVENUE & HIGHWAY 2A NORTH   HIGH RIVER AB T1V 1P4,"50.626076, -113.8793799",P.O. BAG 3850   HIGH RIVER AB T1V 1P4,1a 3x 4Y 6x 8Y 11ACDGKLPQRSVI,(403) 652-4688 (403) 601-8885/F (403) 652-8414/I
093B,CARGILL LIMITED - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL FOODS/LES ALIMENTS CARGILL,7901; RUE SAMUEL-HATT   CHAMBLY QC J3L 6V7,"45.416219, -73.28405769999999",   , 3fx 6fx 11D,(450) 447-4600 (450) 447-9611/F (450) 447-4672/I
94,FRIGO ROYAL (1998) INC.Also Doing Business As Name:   Expdi-Go Transit,3100 RUE BOUTHILLIER   ST-HYACINTHE QC J2S 2A3,"45.6229692, -72.9663746",3150 RUE BOUTHILLIER   ST-HYACINTHE QC J2S 7P2, 6fx 9B 11ADFGHQRSV 12Y,(450) 773-9565 (450) 773-8305/F
96,MONTPAK INTERNATIONAL INC.Also Doing Business As Name:   MONTPAK INTERNATIONAL-ECOLAIT-DELFTBLUE-VEAU DES PLAINES-VEAU CHARLEVOIX-VIVO-SIMPLY VEAL,1591 CHEMIN STE-CLAIRE   TERREBONNE QC J7M 1M2,"45.765875, -73.7465552",5730; PLACE MAURICE CULLEN   LAVAL QC H7C 2V1,1bij 3x 6x 11ABCDKLM,(450) 478-2055/T (450) 478-4589/F (   )    -
100,AURPAL INC.,1661; RUE MARCOUX   MARIEVILLE QC J3M 1E8,"45.4270264, -73.1546066",   , 2fgx 3fgx 6fgx 11AD,(450) 460-2107 (450) 460-2963/F
101,SOFINA FOODS INC./ALIMENTS SOFINA INC.*Also Doing Business As Name:   SOFINA FOODS,147 JOHN STREET   DUBLIN ON N0K 1E0,"43.5035126, -81.28620699999999",P.O. BOX 38   DUBLIN ON N0K 1E0,1f 11ADG,(519) 345-2270 (519) 345-2380/I (519) 345-2231/F
102,GROUPE ASYGO INC.,196 BOUL. BRUNSWICK   POINTE-CLAIRE QC H9R 5P9,"45.4712051, -73.8213992",   , 6fx 11D,(514) 587-6606/T (514) 587-6690/F
104,THE NEW ZEALAND AND AUSTRALIAN LAMB COMPANY LIMITED/LA COMPAGNIE D'AGNEAU DEAlso Doing Business As Name:   NOUVELLE-ZLANDE ET D'AUSTRALIE LIMITE / THE LAMB COMPANY,10 SHORNCLIFFE ROAD; UNIT 3   TORONTO ON M9B 3S3,"43.6311058, -79.5445508",   , 3x 6x 9B 11DK,(416) 231-5262 (416) 231-8934/F
106,BLUE BUOY FOODS LIMITED,284 KENMOUNT ROAD   ST. JOHN'S NL A1B 3N9,"47.5521087, -52.7770385",P.O. BOX 8487   ST. JOHN'S NL A1B 3N9, 3x 6x 11AD,(709) 754-1060 (709) 739-6412/F
107,LES ALIMENTS PEK (1997) INC.,11745; 6 IEME AVENUE   MONTRAL QC H1E 1R8,"45.6228978, -73.5999819",   , 3f 11D,(514) 494-7957 (514) 494-1948/F
111,GROUPE COLABOR INC.Also Doing Business As Name:   VIANDES LAUZON,2715 RUE DE READING   MONTREAL QC H3K 1P7,"45.4755279, -73.56757259999999",   , 3x 6fx 9B/US 11AKD,(514) 937-8571 (514) 937-5958/F
112,BELMONT MEAT PRODUCTS LIMITED,230 SIGNET DRIVE   TORONTO ON M9L 1V2,"43.7661514, -79.54200329999999",   , 3x 6fx 9B/US 11ADG,(416) 749-7250 (416) 749-0604/F (416) 749-7250/I
113,LES VIANDES C.D.S. INC.,224 BOUL. J.R. THEBERGE   CHICOUTIMI QC G7J 4V9,"48.4287169, -71.0889774",598 BOUL. SAGUENAY OUEST   CHICOUTIMI QC G7J 1H4, 3fx 6fx 11D,(418) 549-5817 (418) 549-1483/F
113A,LES VIANDES C.D.S. INC.,1808 AVENUE LAVOIE   CHICOUTIMI QC G7H 7S9,"48.3909878, -70.9797657",598; BOUL. SAGUENAY OUEST   CHICOUTIMI QC G7J 1H4, 3x 6x 11D,(418) 545-9614 (418) 545-9694/F
116,MAPLE LEAF FOODS INC./ LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CLEARVIEW FARMS : COLD SPRINGS FARM : COORSH : GAINERS : HUB MEAT PACKERS : HUB MEATS/LES VIANDES HUB : J.M. SCHNEIDER : LARSEN PACKERS : LES ALIMENTS HYGRADES/HYGRADE FOODS : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF FRESH FOODS : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PRPARES MAPLE LEAF : MITCHELL'S GOURMET FOODS : PARMA : PRIME MEATS : PRIME POULTRY : PRINCIPAL MARQUES MEAT COMPANY : ROYCE DUPONT : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : TEND-R-FRESH : THAMES VALLEY PROCESSORS : THE POULTRY COMPANY : VANCOUVER FANCY MEATS/LES VIANDES PRPARES VANCOUVER FANCY,500; RUE LABONT   DRUMMONDVILLE QC J2C 6X9,"45.8726736, -72.5442996",   ,1fi 11AD,(819) 471-5000 (   )    - (   )    -
121,VAN HESSEN CANADA INC.Also Doing Business As Name:   INTERNATIONAL CASINGS GROUP CANADA INC.,620 WRIGHT STREET   ST. LAURENT; MONTREAL QC H4N 1M6,"45.529155, -73.6620702",   , 5Y 9C/US 11AHKC,(514) 332-1122 (514) 332-5952/F
122,LES ALIMENTS PIZZA ROMANA INC.,2900; RUE LOUIS-A.-AMOS   LACHINE QC H8T 3K6,"45.4653675, -73.7032904",   , 6fx,(514) 631-9275 (514) 631-8917/F
124,LES PRODUITS ALIMENTAIRES UPTIME INC./UPTIME FOOD PRODUCTS INC.,11800 AV J.-J.-JOUBERT   MONTREAL QC H1E 7J4,"45.6444397, -73.5685974",   , 6fx 11DKF,(514) 648-1888 (514) 648-1101/F
126,HYLIFE FOODS LPAlso Doing Business As Name:   SPRINGHILL FARMS : SPRINGHILL FOODS : HYLIFE FOODS,623 MAIN STREET EAST   NEEPAWA MB R0J 1H0,"50.2283684, -99.4233708",P.O. BOX 10;000   NEEPAWA MB R0J 1H0,1d 3x 6x 11ADFGKQRSVI,(204) 476-3393 (204) 476-3791/F Ext. 114
128,MCF HOLDINGS LTD.Also Doing Business As Name:   EDMONTON MEAT PACKING,8320 YELLOWHEAD TRAIL   EDMONTON AB T5B 1G5,"53.5829141, -113.4703894",   , 6fx 11AK,(780) 479-3100 (780) 479-0189/F (780) 477-2969/I
129,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.,125 RUE ST-ISIDORE   ST-ESPRIT QC J0K 2L0,"45.9057915, -73.6614614",   ,1d 3x 5Y 6x 11ADFGIKQSV,(450) 839-7258 (450) 839-7259/F
130,GESTION J.-F. HOULE INC.Also Doing Business As Name:   LES ALIMENTS TRI-DELI INC. (TRI-DELI FOODS INC.),85 RUE FISHER   MONT-SAINT-HILAIRE QC J3H 0L8,"45.5856176, -73.148262",890 CHEMIN BENOIT   MONT ST-HILAIRE QC J3H 0L8, 3fx 6fx 9B/US 11D,(450) 446-9899 (450) 446-9891/F
131,GOREPAS INDUSTRIE INC.,7400; Grande Alle   Saint Hubert QC J3Y 5K2,"45.45787199999999, -73.4173387",   , 6xf,450-926-0191
132,SOFINA FOODS INC./ ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE,2126 HURST ROAD SOUTH EAST   CALGARY AB T2G 4M5,"51.0338602, -114.0379541",100 COMMERCE VALLEY DRIVE   MARKHAM ON L3T 0A1,1fi 3f 6f 11DGV,(403) 265-9010 (403) 262-3461/F (403) 265-4586/I
136,SUNGOLD SPECIALTY MEATS LTD.,4312-51ST STREET   INNISFAIL AB T4G 1A3,"52.030009, -113.9384473",   ,1ci 3x 5Y 6x 11ADGL,(403) 227-3386 (403) 227-5001/I (403) 227-1661/F
137,GRANNY'S POULTRY CO-OPERATIVE (MANITOBA) LTD.,LOTS 4; 5; 7 & 8 BLOCK #1; PLAN 16858 #4 PENNER DRIVE  BLUMENORT MB R0A 0C0,"49.60239079999999, -96.6883328",BOX 98   BLUMENORT MB R0A 0C0,1f 3f 6f 11ADGV,(204) 326-3448 (204) 326-4787/F (204) 326-5757/I
138,Les Aliments Chatel Inc.,575 Monte Saint-Franois   Laval QC H7C 2S8,"45.6242257, -73.6519893",   , 6x (20) 9B/US,514-935-5446
140,4383516 CANADA INC.Also Doing Business As Name:   ALIMENTATION ASIE-MONTRAL INC.,3010A; RUE ANDERSON   TERREBONNE QC J6Y 1W1,"45.686143, -73.7680158",   , 3fx 6fx 11D,(450) 621-3288 (450) 621-3577/F
141,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P.: SUPRALIMENT S.E.C.,7800 RUE GRENACHE   ANJOU QC H1J 1C3,"45.6112328, -73.5727309",   , 6fx 11AD,(514) 353-2830 (514) 353-7032/F (514) 356-5618
142,LES ALIMENTS BCI INC./BCI FOODS INC.Also Doing Business As Name:   BAXTERS CANADA INC.,4800 AVENUE PINARD   ST-HYACINTHE QC J2S 8E1,"45.6293385, -72.9966178",   , 2fx 11DA,(450) 796-3210 (450) 796-3406/F
144,SERVICE ALIMENTAIRE DESCO INC.Also Doing Business As Name:   VOLPAK INC. : 9167 - 5132 QUBEC INC. : VOLAILLES DES PLAINES,2395 - 2e RUE   STE-SOPHIE QC J5J 1N6,"45.8042138, -73.89388629999999",97 PREVOST   BOISBRIAND QC J7G 3A1, 3fx 6fx 9B/US 11D,(450) 565-1115 (450) 565-8923/F
145,PURE FOODS MEAT SOLUTIONS INC.Also Doing Business As Name:   TASTY CHIP (2008) INC.,10 SHORNCLIFFE ROAD UNIT 5  TORONTO ON M9B 3S3,"43.6311058, -79.5445508",   , 3fx 6fx 11ADF,(416) 236-1163 (416) 236-4974/F (416) 236-3151/I
146,CARGILL LIMITED - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL VALUE ADDED MEATS,235 NUGGETT COURT   BRAMPTON ON L6T 5H4,"43.7249359, -79.6903486",   , 6x 11D,(905) 790-8660 (905) 790-1231/F (905) 792-6005/I
146A,CARGILL LIMITED,240 DIAMOND AVENUE   SPRUCE GROVE AB T7X 4C7,"53.5356, -113.90197",BOX 4120   SPRUCE GROVE AB T7X 3B3, 6x 11D,(780) 962-6240 (780) 962-0862/F (780) 962-2737/I
147,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.,568; CHEMIN DE L'ECORE SUD   VALLE-JONCTION QC G0S 3J0,"46.3702328, -70.9275",   ,1d 3x 5Y 6x 11ADFGIKQSVR,(418) 253-5437 (418) 253-6734/F
147C,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.,155; RUE ST-JEAN BAPTISTE NORD   PRINCEVILLE QC G6L 5C9,"46.1751937, -71.87626639999999",2200 AVENUE PRATTE; BRUO 400   ST-HYACINTHE QC J2S 4B6,1d 3x 11ADFGKQRSVI,(819) 364-5501 (819) 364-3505/F
148,R. FIEDLER MEAT PRODUCTS LTD.,10 GRIGG DRIVE   SIMCOE ON N3Y 4L4,"42.84578, -80.33066",P.O. BOX 400   SIMCOE ON N3V 4L4, 6fx 11AD,(519) 426-8520/P (519) 426-9760/F (519) 426-6930/I
150,EDEN VALLEY POULTRY INCORPORATED,326 MAIN STREET   BERWICK NS B0P 1E0,"45.0513509, -64.751076",   ,1f 3f 11D,(902) 538-3800 (902) 538-7735/F
154,SALAMINA INC.Also Doing Business As Name:   LES ALIMENTS SALAMINA/SALAMINA FOODS : LES ALIMENTS SORRISO/SORRISO FOODS,4401; AUTOROUTE LAVAL OUEST   LAVAL QC H7P 4W6,"45.56343, -73.7835432",4401; AUTOROUTE LAVAL OUEST   LAVAL QC H7P 4W6, 6x 11D,(450) 682-1116 (514) 335-5500/F
158,DOMINION MEAT PACKERS INC.Also Doing Business As Name:   CORSETTI MEAT PACKERS : DOMINION MEAT PACKERS,2255 ST. CLAIR AVENUE WEST   TORONTO ON M6N 1K5,"43.6699258, -79.4771289",   , 3x 6x 11ADK,(416) 762-7281 (416) 762-4465/F
160,ROMAN CHEESE PRODUCTS LIMITED,7770 CANADIAN DRIVE   NIAGARA FALLS ON L2E 6S5,"43.0635617, -79.1253507",   , 6fx 11D,(905) 356-2639 (905) 357-7793/F Ext. 225/I
162,PRODUITS ALIMENTAIRES VIAU INC.,10035; AVENUE PLAZA;   MONTRAL-NORD QC H1H 4L5,"45.5820523, -73.6339073",6625 ERNEST-CORMIER;   LAVAL QC H7C 2V2, 6x 11ADF,(450) 665-6100 (514) 321-7312/F
163,EASTERN MEAT PURVEYORS LIMITED,4 DOMINION CRESCENT   LAKESIDE NS B3T 1M1,"44.64325669999999, -63.69021970000001",   , 3fx 6x,(902) 876-2356 (902) 876-0162/F
164,G. BRANDT MEAT PACKERS LIMITED,1878 MATTAWA AVENUE   MISSISSAUGA ON L4X 1K1,"43.6168678, -79.56927209999999",   , 3fx 6fx 11ADK,(905) 279-4460 (905) 279-9155/F
166,ONTARIO RAVIOLI LIMITED,121 BROCKLEY DRIVE   HAMILTON ON L8E 3C4,"43.2370498, -79.74240379999999",   , 6fx,(905) 561-4132 (905) 561-0108/I (905) 561-4132/F
167,VOLAILLES RGAL INC./REGAL POULTRY INC.,955 RUE MICHELIN   LAVAL QC H7L 5B6,"45.5937918, -73.7422705",   , 3f 6f 9B/US 11D,(450) 667-7070 Ext. 245/I (450) 667-5208/F
169A,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P.;ALIMENTS PRINCE; S.E.C./PRINCE FOODS;LP.;SUPRALIMENT S.E.C.,2330 INDUSTRIAL PARK DRIVE   CORNWALL ON K6H 7N1,"45.0511029, -74.68723349999999",   , 6x 11AFVD,(613) 932-3040 (613) 932-3050/F
170,WING WING COMPANY LIMITED,460 EAST HASTINGS STREET   VANCOUVER BC V6A 1P7,"49.280939, -123.0939495",   , 6x 9B/US 11ADFGHQSV 12Y,(604) 254-7241 (604) 255-8288
171,CENTENNIAL FOODSERVICE,BAY #132; 2880 - 45 AVENUE S.E.   CALGARY AB T2B 3M1,"51.01445349999999, -113.9931297",   , 3fx 6fx 11D,(403) 299-0525 (403) 248-8076/F (403) 267-0497/I
173,DR. OETKER CANADA LTD.*,795; ROUTE 108; BUILDING A   SAINT-ANDRE NB E3Y 4A5,"47.0668209, -67.7778668",2229 DREW ROAD   MISSISSAUGA ON L5S 1E5, 6fx,(905) 678-1311 (905) 678-9334/F
173A,MCCAIN FOODS LIMITEDAlso Doing Business As Name:   MCCAIN FOODS (CANADA),8800 MAIN STREET;   FLORENCEVILLE-BRISTOL NB E7L 1B2,"46.45020419999999, -67.61149929999999",   , 6fx,(506) 392-5541 (506) 392-0891/F
176,WINGTAT GAME BIRD PACKERS INC.,11951 FORGE PLACE   RICHMOND BC V7A 4V9,"49.12766449999999, -123.0933337",   , 3fx 6fx 11DA,(604) 277-4456 (604) 277-5594/F
176A,WINGTAT GAME BIRD PACKERS INC.,9752 - 186TH STREET   SURREY BC V4N 3N7,"49.17976789999999, -122.7071358",   ,1fhi 3f 6f 11D,(604) 882-0051/I (604) 882-0056/F (604) 882-0054
177,J.C. FOODS LTD.,575 JARVIS AVENUE   WINNIPEG MB R2W 3B2,"49.91321019999999, -97.1507329",   , 6f,(204) 582-7724 (204) 589-1959/F (204) 589-1879/I
180,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P.: SUPRALIMENT S.E.C.,531; RUE DES RABLES   TROIS-RIVIERES QC G8T 7Z7,"46.38152119999999, -72.5274106",2200 RUE PRATTE; BUREAU 400   ST-HYACINTHE QC J2S 4B6, 6fx 11ADF,(450) 771-0400 (450) 773-6436/F
183,UNIVERSITY OF GUELPH,DEPARTMENT OF ANIMALS AND POULTRY SCIENCE; MEAT SCIENCE LABORATORY BLDG. 70; GORDON STREET GUELPH ON N1G 2W1,"43.5410768, -80.2455087",   ,1abcd 3fx 6fx 11D,(519) 824-4120 (519) 836-9873/F Ext. 53672
184,MONTENAC INTERNATIONAL INC.Also Doing Business As Name:   ENTREPOT FRIGORIFIQUE MONTENAC : LES ALIMENTS MONTENAC,2316 32ND AVENUE   LACHINE QC H8T 3H4,"45.4663228, -73.7127715",   , 3f 6f 9B/US 11D,(514) 636-1631 (514) 636-0785/F
186,MORRISON LAMOTHE INC.,399 EVANS AVENUE   TORONTO ON M8Z 1K9,"43.6150074, -79.5274586",   , 6fx 11AD,(416) 255-7731 (416) 255-1722/I (416) 255-1427/F
187,Les Aliments Yamatra Import- Export Inc.,210 Canton Sud   Yamachiche QC G0X 3X0,"46.2895271, -72.800803",210 Canton Sud   Yamachiche QC G0X 3X0, 3x 11AD,819-690-4621
188,GOODMARK POULTRY (TORONTO) INC.Also Doing Business As Name:   MIKE'S WHOLESALE MEAT,21 STEINWAY BLVD.; UNIT 7 & 8   TORONTO ON M9W 6N4,"43.7518243, -79.6188025",   , 3fx 6fx 11D,(416) 675-4408 416-675-4409/F
189,LES ALIMENTS LA BROCHETTE INC.Also Doing Business As Name:   LA BROCHETTE : CHEF CHRONO : CASA,404; ROUTE 104   MONT SAINT-GRGOIRE QC J0J 1KO,"45.3229052, -73.1867887",   , 3fx 6fx,(450) 346-4144 (450) 346-4803/F
191,LES VIANDES OR-FIL INTERNATIONAL INC./OR-FIL MEATS INTERNATIONAL INC.Also Doing Business As Name:   DLI-PORC INC.,2080; RUE MONTEREY   LAVAL QC H7L 3S3,"45.5834258, -73.7539566",   , 3x 6x 9B/US 11ADFGHKQRSV 12Y,(450) 687-5664 (450) 687-2733/F
193,MEILLEURES MARQUES LIMITEE,860; BOUL MICHLE-BOHEC   BLAINVILLE QC J7C 5E2,"45.6638611, -73.8851787",   , 6fx 11D,(450) 979-3377 (450) 979-3379/F
196,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF :MAPLE LEAF PREPARED MEATS/LES VIANDES PRPARES MAPLE LEAF :MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF :SHOPSYS :SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S :LES ALIMENTS HYGRADE/HYGRADE FOODS :VANCOUVER FANCY MEATS/LES VIANDES PRPARES VANCOUVER FANCY :BURNS MEATS :GAINERS :PRINCIPAL MARQUES:PRINCIPAL MARQUES MEAT COMPANY :BITTNERS :PARMA :COORSH :MAPLE LEAF CONSUMER FOODS :LES ALIMENTS DE CONSOMMATION MAPLE LEAF :MAPLE LEAF PORK/PORC MAPLE LEAF :HUB MEAT PACKERS :LARSEN PACKERS :PRIME POULTRY :PRIME MEATS :MAPLE LEAF :TEND-R-FRESH :CLEARVIEW FARMS :ROYCE DUPONT :THE POULTRY COMPANY :MAPLE LEAF POULTRY,32 KENNEDY ROAD S.   BRAMPTON ON L6W 3E3,"43.6921875, -79.7438602",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1,1fi 3f 11DG,(905) 453-6262 (905) 453-6362/F (905) 453-6262/I
197,9373586 CANADA INCAlso Doing Business As Name:   ALIMENTRA;LES ALIMENTS CUIZINE/CUIZINE FOODS,3480 RANG DES TRENTE; RR1   ST-JEAN-BAPTISTE QC J0L 2B0,"45.5056942, -73.1163873",   , 6fx 11D,(450) 464-1414 (   )    -
199,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.,1425 RUE ST. JACQUES   ST-HYACINTHE QC J2S 6M7,"45.6216735, -72.9639816",   , 3x 4Y 6fx 11AGKDSRQVIF,(450) 778-2211 (450) 773-2194/F
205,JBS CANADA ULCAlso Doing Business As Name:   MOUNTAIN CREEK FARMS,3410B OGDEN ROAD S.E.   CALGARY AB T2G 4N5,"51.0244571, -114.029575",   , 3fx 6fx 11ADL,(403) 290-0860 (403) 264-3017/F (403) 218-2163/I
206,ALIMENTS PRO-MARQUE INC.Also Doing Business As Name:   ALIMENTS FUN ET GRILL : DELI AND BRUNCH : GOUTS ET TRADITIONS : GRILL ET FOUR : GUSTI E TRADIZIONI : TENDER SENSATION : WOK AND GRILL : WOK ET GRILLADE,11695; AVE PHILIPPE-PANNETON   MONTRAL QC H1E 4M1,"45.6230201, -73.5969375",   , 3fx 6fx 11D,(514) 881-9998 (514) 643-0885/F
207,ALIMENTS LUDA FOODS INC.Also Doing Business As Name:   ALIMENTS E.D. : E.D. FOODS,6200 TRANSCANADA HIGHWAY   POINTE CLAIRE QC H9R 1B9,"45.4640512, -73.8197215",   , 6fx 11D,(514) 695-3333 (514) 695-0281/F
208A,ERIE MEAT PRODUCTS LIMITEDAlso Doing Business As Name:   CAN-AM MEAT PURVEYORS : GOLDEN MAPLE MEAT PRODUCTS: HARVEST CREEK,3180 WHARTON WAY   MISSISSAUGA ON L4X 2C1,"43.6218374, -79.5789142",   , 3fx 6fx 9B/US 11ADGKRV,(905) 624-3811 (905) 625-8815/F (905) 624-2285/I
209,SERVICE ALIMENTAIRE DESCO INC.Also Doing Business As Name:   9150-7707 QUBEC INC.,97; RUE PRVOST   BOISBRIAND QC J7G 3A1,"45.6269954, -73.8324437",   , 3fx 6fx 9B/US 11AD,(450) 437-7182 (450) 437-7397/F
210,9292-2913 QUBEC INC.,1940; RUE DES OUTARDES   CHICOUTIMI QC G7K 1H1,"48.3971562, -71.1155185",   , 6fx,(418) 545-2511 (418) 690-3395/F
